"AMANA_ID","AMANANAME_AR","AMANANAME_EN","REGION_ID"
"11001","أمانة منطقة نجران","Najran Municipality","11"
"4001","أمانة منطقة القصيم","Qassim Municipality","4"
"5001","أمانة المنطقة الشرقية","Eastern Region Municipality","5"
"2001","أمانة العاصمة المقدسة","Holly Makkah Municipality","2"
"5002","أمانة محافظة الاحساء","Alahsa Municipality","5"
"1001","أمانة منطقة الرياض","Alriyadh Municipality","1"
"9001","أمانة منطقة الحدود الشمالية","Northern Borders Municipality","9"
"6001","أمانة منطقة عسير","Asir Municipality","6"
"13001","أمانة منطقة الجوف","Al Jouf Municipality","13"
"2003","أمانة محافظة الطائف","Taif Municipality","2"
"12001","أمانة منطقة الباحة","Al Baha Municipality","12"
"7001","أمانة منطقة تبوك","Tabuk Municipality","7"
"5003","أمانة محافظة حفر الباطن","Hafr Al Batin Municipality","5"
"2002","أمانة محافظة جدة","Jeddah Municipality","2"
"8001","أمانة منطقة حائل","Hail Municipality","8"
"3001","أمانة منطقة المدينة المنورة","Madinah Municipality","3"
"10001","أمانة منطقة جازان","Jazan Municipality","10"
