OBJECTID,REGIONCODE,REGIONNAME_AR,REGIONNAME_EN,floor_in_Villa_or_in_House,Total,other,Apartment,villa,traditionalHouse
"1","05",المنطقة الشرقية,Eastern Region,"47225","464964","43250","175184","134095","65210"
"2","01",منطقة الرياض,Riyadh Region,"128259","749739","61581","221624","243577","94698"
"3","02",منطقة مكة المكرمة,Makkah Al Mukarramah Region,"43847","982162","58678","429144","66750","383743"
"4","03",منطقة المدينة المنورة,Al Madinah Al Munawwarah Region,"3294","239305","14820","114897","19895","86399"
"5","04",منطقة القصيم,Al Qassim Region,"15712","148462","13581","22112","51789","45268"
"6","06",منطقة عسير,Asir Region,"36251","271845","29024","56211","58839","91520"
"7","07",منطقة تبوك,Tabuk Region,"8140","95801","13994","28530","16115","29022"
"8","08",منطقة حائل,Hail Region,"2477","79004","6482","4980","28912","36153"
"9","09",منطقة الحدود الشمالية,Northern Borders Region,"5343","32564","1684","6394","15604","3539"
"10","10",منطقة جازان,Jazan Region,"4477","179985","7603","21026","17738","129141"
"11","11",منطقة نجران,Najran Region,"4249","63034","14873","17863","7551","18498"
"12","12",منطقة الباحة,Al Bahah Region,"8601","71719","8845","11127","13829","29317"
"13","13",منطقة الجوف,Al Jawf Region,"3554","49086","4852","11785","18677","10218"
